Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Anthisnes,4.254,101.482.673,40.822,30.736,23.856,110,23.209.792,1.964.427,25.174.219,61079
Engis,6.310,118.363.976,31.313,25.939,18.758,86,22.304.665,1.784.784,24.089.449,61080
Tinlot,2.746,67.121.938,41.204,30.054,24.444,112,15.969.075,1.268.783,17.237.858,61081
Arrondissement de Liège,626.069,12.206.051.048,32.912,25.365,19.496,90,2.429.976.266,200.928.770,2.630.905.037,62000
Ans,28.764,549.708.775,32.537,26.138,19.111,88,105.039.296,8.956.967,113.996.263,62003
Awans,9.231,213.636.710,37.946,29.354,23.143,106,47.533.818,4.023.553,51.557.372,62006
Aywaille,12.783,276.958.821,36.030,27.232,21.666,100,56.520.098,4.849.211,61.369.309,62009
Bassenge,9.052,194.001.260,35.787,28.381,21.432,98,38.697.324,3.207.846,41.905.170,62011
Beyne-Heusay,11.996,231.536.780,32.708,25.941,19.301,89,43.967.562,3.754.741,47.722.303,62015
Chaudfontaine,20.572,560.470.002,44.376,30.998,27.244,125,138.882.646,11.056.241,149.938.888,62022
Comblain-au-Pont,5.334,105.395.998,32.936,25.714,19.759,91,20.238.558,1.728.464,21.967.022,62026
Dalhem,7.666,183.186.588,40.781,31.930,23.896,110,41.100.783,3.124.581,44.225.364,62027
Esneux,12.800,334.734.004,42.614,31.003,26.151,120,80.413.011,6.781.736,87.194.747,62032
Fléron,16.296,336.627.126,33.859,26.721,20.657,95,65.424.694,5.567.506,70.992.200,62038
Herstal,40.666,704.668.253,29.902,24.271,17.328,80,119.384.499,10.285.739,129.670.238,62051
Juprelle,9.740,227.702.959,40.046,31.513,23.378,107,51.414.348,3.825.415,55.239.763,62060
Liège,195.346,3.463.519.000,29.723,22.738,17.730,81,678.934.401,54.848.853,733.783.254,62063
Oupeye,25.690,525.176.673,34.098,26.992,20.443,94,103.594.640,8.325.225,111.919.865,62079
Saint-Nicolas,24.352,395.870.113,28.715,24.021,16.256,75,63.262.978,5.446.922,68.709.900,62093
Seraing,64.035,1.074.666.006,28.856,23.334,16.782,77,183.485.554,15.787.804,199.273.358,62096
Soumagne,17.322,374.503.569,36.423,28.565,21.620,99,78.269.332,6.554.352,84.823.684,62099
Sprimont,15.159,374.946.056,41.559,30.422,24.734,114,86.986.833,7.352.117,94.338.951,62100
Visé,18.060,376.037.934,35.147,27.322,20.822,96,76.753.370,6.819.616,83.572.985,62108
Grâce-Hollogne,23.050,418.246.596,31.573,25.798,18.145,83,74.495.087,5.985.690,80.480.776,62118
Blegny,13.440,313.439.721,38.625,29.839,23.321,107,69.779.221,5.901.281,75.680.502,62119
Flémalle,26.850,515.840.656,32.475,26.199,19.212,88,96.867.382,7.757.763,104.625.146,62120
Neupré,9.994,281.502.400,47.599,35.628,28.167,129,71.703.510,5.820.603,77.524.113,62121
Trooz,7.871,173.675.049,37.229,28.328,22.065,101,37.227.320,3.166.542,40.393.862,62122
Arrondissement de Verviers,289.918,5.882.067.034,35.041,27.075,20.289,93,1.043.331.556,84.103.165,1.127.434.721,63000
Amblève,5.599,117.263.562,36.553,29.590,20.944,96,16.029.328,996.943,17.026.271,63001
Aubel,4.200,97.328.348,37.448,28.076,23.173,106,19.920.895,1.559.329,21.480.224,63003
Baelen,4.518,99.813.346,36.750,28.959,22.092,101,20.166.511,1.608.069,21.774.580,63004
Bullange,5.510,117.755.311,36.066,28.515,21.371,98,15.893.878,1.031.268,16.925.146,63012
Butgenbach,5.723,116.676.391,34.216,27.994,20.387,94,17.970.206,1.121.056,19.091.261,63013
Dison,15.249,219.982.084,27.938,22.558,14.426,66,34.774.732,2.803.356,37.578.087,63020
Eupen,20.082,419.440.259,36.700,27.383,20.886,96,76.407.561,6.842.077,83.249.638,63023
Herve,17.842,397.236.153,38.255,29.271,22.264,102,86.862.832,6.920.655,93.783.487,63035
Jalhay,8.759,215.933.958,41.217,31.968,24.653,113,49.064.865,3.332.651,52.397.517,63038
La Calamine,11.333,219.019.454,35.572,26.779,19.326,89,21.659.830,2.520.751,24.180.582,63040
Lierneux,3.637,76.100.945,35.511,28.011,20.924,96,14.199.563,1.064.794,15.264.357,63045
Limbourg,5.648,118.123.746,35.020,27.161,20.914,96,23.321.514,1.937.179,25.258.693,63046
Lontzen,6.008,125.254.844,37.025,29.429,20.848,96,20.583.444,1.634.579,22.218.023,63048
Malmedy,12.894,269.849.178,33.858,26.970,20.928,96,49.535.402,3.587.019,53.122.421,63049
Olne,4.082,107.174.299,44.471,34.069,26.255,121,24.834.657,1.776.182,26.610.839,63057
Pepinster,9.280,186.050.397,33.462,26.650,20.049,92,36.333.057,3.090.161,39.423.218,63058
Raeren,11.119,252.395.598,42.728,30.077,22.699,104,23.309.461,3.131.619,26.441.080,63061
Saint-Vith,10.035,224.573.584,38.206,29.924,22.379,103,28.841.630,1.803.074,30.644.704,63067
Spa,9.890,208.296.297,32.480,25.041,21.061,97,40.261.276,3.034.266,43.295.541,63072
Stavelot,7.247,151.223.992,34.844,27.384,20.867,96,28.824.949,2.446.989,31.271.938,63073
Stoumont,3.190,72.726.895,38.500,29.694,22.798,105,15.587.751,1.245.949,16.833.699,63075
Theux,11.972,285.313.641,38.802,29.505,23.832,109,62.982.507,4.463.995,67.446.502,63076
Verviers,55.156,929.814.402,29.893,23.330,16.858,77,166.342.077,14.315.897,180.657.974,63079
Waimes,7.542,155.142.710,34.568,27.888,20.570,94,27.364.364,2.071.195,29.435.560,63080
Welkenraedt,10.515,219.014.865,35.554,28.033,20.829,96,43.290.423,3.484.045,46.774.468,63084
Trois-Ponts,2.517,51.619.627,32.816,26.107,20.508,94,9.322.646,755.124,10.077.770,63086
Burg-Reuland,3.974,85.127.154,38.105,31.085,21.421,98,6.614.312,494.196,7.108.508,63087
Plombières,10.745,211.746.100,34.313,27.302,19.706,91,33.189.434,2.797.653,35.987.087,63088
