Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Gesves,7.392,180.191.414,41.779,30.004,24.377,112,43.314.278,3.671.783,46.986.062,92054
Mettet,13.465,296.697.228,37.666,28.885,22.035,101,63.787.973,5.075.977,68.863.951,92087
Namur,113.286,2.406.053.914,35.394,26.345,21.239,98,533.512.325,45.276.207,578.788.532,92094
Ohey,5.206,113.456.944,37.407,29.450,21.793,100,24.389.725,2.011.827,26.401.552,92097
Profondeville,12.349,295.727.469,40.066,29.964,23.947,110,69.374.720,5.537.302,74.912.022,92101
Sombreffe,8.438,191.651.076,40.578,30.713,22.713,104,44.547.219,3.532.269,48.079.488,92114
Sambreville,28.392,545.136.117,32.347,25.635,19.200,88,103.132.020,8.247.464,111.379.484,92137
Fernelmont,8.221,200.047.329,43.621,32.241,24.334,112,48.315.418,3.589.796,51.905.214,92138
Jemeppe-sur-Sambre,19.257,408.490.050,36.220,27.785,21.213,97,86.733.120,5.187.280,91.920.400,92140
La Bruyère,9.292,241.274.628,47.170,35.051,25.966,119,61.188.278,4.847.179,66.035.457,92141
Gembloux,26.517,633.105.458,41.290,30.269,23.875,110,152.048.755,11.760.733,163.809.488,92142
Arrondissement de Philippeville,66.748,1.342.554.792,33.438,26.478,20.114,92,260.957.572,21.037.564,281.995.136,93000
Cerfontaine,4.995,103.191.218,34.306,26.975,20.659,95,20.827.728,1.258.092,22.085.820,93010
Couvin,14.000,255.117.647,30.074,23.943,18.223,84,44.599.072,3.841.347,48.440.419,93014
Doische,2.995,57.366.369,31.331,25.279,19.154,88,9.864.367,808.893,10.673.260,93018
Florennes,11.339,227.489.573,34.111,27.201,20.063,92,45.164.575,3.823.176,48.987.751,93022
Philippeville,9.381,186.503.720,33.097,26.731,19.881,91,34.803.244,2.785.675,37.588.919,93056
Walcourt,18.398,406.823.693,37.323,29.605,22.112,102,87.781.639,6.984.885,94.766.524,93088
Viroinval,5.640,106.062.572,29.259,23.380,18.805,86,17.916.945,1.535.497,19.452.443,93090
