,id,Locality,Type of property,Subtype of property,Type of sale,Fully equipped kitchen,Fireplace,Terrace,Garden,Garden area,Surface of the land,Surface area of the plot of land,Swimming pool,State of the building,Compound Listing,Price,Number of rooms,Living Area,Furnished,Terrace area,Number of facades
9971,20305345,4420,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,0.0,0,JUST_RENOVATED,single,239000.0,4.0,128.0,0.0,18.0,3.0
9972,20196669,6940,HOUSE,HOUSE,residential_sale,1,0,1,1,920.0,920.0,1002.0,0,GOOD,single,379000.0,3.0,188.0,0.0,36.0,4.0
9973,20267870,1150,HOUSE,HOUSE,residential_sale,1,0,1,1,60.0,60.0,322.0,0,GOOD,single,550000.0,3.0,144.0,0.0,14.0,3.0
9974,20275391,8570,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,1794.0,0,GOOD,single,375000.0,3.0,235.0,0.0,0.0,4.0
9975,20312769,8620,HOUSE,HOUSE,residential_sale,1,1,1,1,1.0,1.0,355.0,0,AS_NEW,single,725000.0,6.0,258.0,0.0,1.0,2.0
9976,20183997,9700,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,750.0,0,GOOD,single,274000.0,4.0,182.0,0.0,11.739023051124859,2.0
9977,20143994,2830,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,280.0,0,GOOD,single,399000.0,3.0,160.0,0.0,0.0,2.0
9978,20218164,9620,HOUSE,VILLA,residential_sale,0,0,1,0,0.0,0.0,3081.0,1,GOOD,single,589000.0,3.0,182.0,0.0,34.044037367895825,4.0
9979,20278968,2870,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,955.0,0,GOOD,single,519000.0,3.0,190.0,0.0,43.2976701985325,4.0
9980,20285829,8830,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,268.0,0,TO_BE_DONE_UP,single,219000.0,4.0,142.0,0.0,36.31262135429777,3.0
9981,20315430,9320,HOUSE,HOUSE,residential_sale,1,0,1,1,40.0,40.0,143.0,0,TO_BE_DONE_UP,single,279000.0,3.0,162.28571428571428,0.0,6.0,2.0
9982,20297968,4042,HOUSE,HOUSE,residential_sale,1,0,1,1,120.0,120.0,301.0,0,AS_NEW,single,425000.0,4.0,160.0,0.0,35.0,2.0
9983,20270461,9090,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,362.0,0,GOOD,single,249000.0,2.0,113.0,0.0,12.50511925062345,2.0
9984,20285303,8647,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,321.0,0,TO_RENOVATE,single,149000.0,4.0,135.0,0.0,0.0,3.0
9985,20158502,7500,HOUSE,MANSION,residential_sale,1,0,1,1,164.0,164.0,240.0,0,GOOD,single,375000.0,5.0,216.0,0.0,17.0,2.0
9986,20273941,1200,HOUSE,HOUSE,residential_sale,1,1,1,1,50.0,50.0,160.0,0,AS_NEW,single,790000.0,5.0,349.0,0.0,14.0,2.0
9987,20313617,4607,HOUSE,HOUSE,residential_sale,0,0,0,1,127.0,127.0,207.0,0,TO_RENOVATE,single,165000.0,4.0,229.0,0.0,0.0,2.0
9988,20234550,4020,HOUSE,TOWN_HOUSE,residential_sale,1,0,1,1,115.0,115.0,304.0,0,TO_RENOVATE,single,245000.0,5.0,148.0,0.0,15.0,3.0
9989,20240908,9300,HOUSE,HOUSE,residential_sale,1,0,1,1,35.0,35.0,100.0,0,TO_BE_DONE_UP,single,309000.0,4.0,160.0,0.0,35.0,2.0
9990,11396484,1070,HOUSE,TOWN_HOUSE,residential_sale,1,0,1,1,120.0,120.0,245.0,0,TO_BE_DONE_UP,single,440000.0,3.0,140.0,0.0,5.0,2.0
9991,20237239,2540,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,333.0,0,GOOD,single,595000.0,3.0,186.0,0.0,21.0,3.0
9992,20309462,9280,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,320.0,0,GOOD,single,190000.0,2.0,136.0,0.0,0.0,2.0
9993,20317500,2820,HOUSE,HOUSE,residential_sale,1,0,1,1,120.0,120.0,553.0,0,JUST_RENOVATED,single,695000.0,4.0,253.0,0.0,33.0,4.0
9994,20071155,8420,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,540.0,0,TO_BE_DONE_UP,single,395000.0,3.0,170.0,0.0,25.975974766967248,3.0
9995,20304710,3740,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,188.0,0,GOOD,single,449000.0,3.0,161.14285714285714,0.0,0.0,3.0
9996,20261598,2950,HOUSE,HOUSE,residential_sale,1,0,0,1,120.0,120.0,120.0,0,GOOD,single,420000.0,3.0,150.0,0.0,0.0,3.0
9997,20257828,6720,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,347.0,0,GOOD,single,295000.0,2.0,129.0,0.0,20.0,3.0
9998,20250453,4000,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,50.0,0,GOOD,single,259000.0,3.0,160.0,0.0,0.0,2.0
