Code INS,Entités administratives,Langue,Région,Province,Arrondissement,Codes postaux,,,,,,,,,,,,,,,
13008,Geel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2440,,,,,,,,,,,,,,,
13010,Grobbendonk,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2280,2288,,,,,,,,,,,,,,
13011,Herentals,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2200,,,,,,,,,,,,,,,
13012,Herenthout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2270,,,,,,,,,,,,,,,
13013,Herselt,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2230,,,,,,,,,,,,,,,
13014,Hoogstraten,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2320,2321,2322,2323,,,,,,,,,,,,
13016,Hulshout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2235,,,,,,,,,,,,,,,
13017,Kasterlee,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2460,,,,,,,,,,,,,,,
13019,Lille,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2275,,,,,,,,,,,,,,,
13021,Meerhout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2450,,,,,,,,,,,,,,,
13023,Merksplas,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2330,,,,,,,,,,,,,,,
13025,Mol,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2400,,,,,,,,,,,,,,,
13029,Olen,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2250,,,,,,,,,,,,,,,
13031,Oud-Turnhout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2360,,,,,,,,,,,,,,,
13035,Ravels,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2380,2381,2382,,,,,,,,,,,,,
13036,Retie,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2470,,,,,,,,,,,,,,,
13037,Rijkevorsel,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2310,,,,,,,,,,,,,,,
13040,Turnhout,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2300,,,,,,,,,,,,,,,
13044,Vorselaar,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2290,,,,,,,,,,,,,,,
13046,Vosselaar,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2350,,,,,,,,,,,,,,,
13049,Westerlo,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2260,,,,,,,,,,,,,,,
13053,Laakdal,N,RÉGION FLAMANDE,Province d'Anvers,Arrondissement de Turnhout,2430,2431,,,,,,,,,,,,,,
21001,Anderlecht,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1070,,,,,,,,,,,,,,,
21002,Auderghem,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1160,,,,,,,,,,,,,,,
21003,Berchem-Sainte-Agathe,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1082,,,,,,,,,,,,,,,
21004,Bruxelles,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1000,1020,1120,1130,,,,,,,,,,,,
21005,Etterbeek,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1040,,,,,,,,,,,,,,,
21006,Evere,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1140,,,,,,,,,,,,,,,
21007,Forest,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1190,,,,,,,,,,,,,,,
21008,Ganshoren,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1083,,,,,,,,,,,,,,,
21009,Ixelles,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1050,,,,,,,,,,,,,,,
21010,Jette,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1090,,,,,,,,,,,,,,,
21011,Koekelberg,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1081,,,,,,,,,,,,,,,
21012,Molenbeek-Saint-Jean,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1080,,,,,,,,,,,,,,,
21013,Saint-Gilles,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1060,,,,,,,,,,,,,,,
21014,Saint-Josse-ten-Noode,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1210,,,,,,,,,,,,,,,
21015,Schaerbeek,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1030,,,,,,,,,,,,,,,
21016,Uccle,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1180,,,,,,,,,,,,,,,
21017,Watermael-Boitsfort,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1170,,,,,,,,,,,,,,,
21018,Woluwe-Saint-Lambert,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1200,,,,,,,,,,,,,,,
21019,Woluwe-Saint-Pierre,FN,RÉGION DE BRUXELLES-CAPITALE,Province du Brabant Flamand - Bruxelles,Arrondissement de Bruxelles-Capitale,1150,,,,,,,,,,,,,,,
23002,Asse,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1730,1731,,,,,,,,,,,,,,
23003,Beersel,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1650,1651,1652,1653,,,,,,,,,,,,
23009,Biévène,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1547,,,,,,,,,,,,,,,
23016,Dilbeek,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1700,1701,1702,1703,,,,,,,,,,,,
23023,Gammerages,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1570,,,,,,,,,,,,,,,
23024,Gooik,N,RÉGION FLAMANDE,Province du Brabant Flamand,Arrondissement de Hal-Vilvorde,1755,,,,,,,,,,,,,,,
